county,email,url,phone
Hocking,hocking@ohiosecretaryofstate.gov,https://www.voterfind.com/hockingoh/avreport.aspx,File blank. Call (740) 380-8683
Holmes,holmes@ohiosecretaryofstate.gov,https://www.voterfind.com/HOLMESoh/avreport.aspx,
Huron,huron@ohiosecretaryofstate.gov,https://huroncountyboe.wordpress.com/daily-absentee-listing/,Link broken. Call 419-668-8238
Jackson,jackson@ohiosecretaryofstate.gov,https://www.voterfind.com/jacksonoh/avreport.aspx,
Jefferson,jefferso@ohiosecretaryofstate.gov,https://www.voterfind.com/jeffersonoh/avreport.aspx,
Knox,knox@ohiosecretaryofstate.gov,https://www.voterfind.com/knoxoh/avreport.aspx,
Lake,lake@ohiosecretaryofstate.gov,https://www.voterfind.com/lakeoh/avreport.aspx,
Lawrence,lawrence@ohiosecretaryofstate.gov,https://www.voterfind.com/lawrenceoh/avreport.aspx,
Licking,licking@ohiosecretaryofstate.gov,https://www.voterfind.com/lickingoh/avreport.aspx,
Logan,elections@co.logan.oh.us,https://www.voterfind.com/loganoh/avreport.aspx,
Lorain,lorain@ohiosecretaryofstate.gov,https://www.voterfind.com/lorainoh/avreport.aspx,
Lucas,lucas@ohiosecretaryofstate.gov,https://lookup.boe.ohio.gov/vtrapp/lucas/avreport.aspx,Still only 2017. Call: 419-213-4000
Madison,electionboard@co.madison.oh.us,https://www.voterfind.com/madisonoh/avreport.aspx,
Mahoning,mahoning@ohiosecretaryofstate.gov,,Call: (330) 783-2474
Marion,marion@ohiosecretaryofstate.gov,https://www.voterfind.com/marionoh/avreport.aspx,
Medina,medina@ohiosecretaryofstate.gov,,Call: 330.722.9278
Meigs,meigs@ohiosecretaryofstate.gov,https://www.voterfind.com/meigsoh/avreport.aspx,Blank file. Call: (740) 992-2697
Mercer,mercer@ohiosecretaryofstate.gov,,Call (419) 586-2215
Miami,miami@ohiosecretaryofstate.gov,https://www.voterfind.com/miamioh/avreport.aspx,
Monroe,monroe@ohiosecretaryofstate.gov,https://www.voterfind.com/monroeoh/avreport.aspx,Blank file. Call (740) 472-0929
Montgomery,mcboe@mcohio.org,https://www.voterfind.com/montgomeryoh/avreport.aspx,
Morgan,morgan@ohiosecretaryofstate.gov,https://www.voterfind.com/morganoh/avreport.aspx,
Morrow,morrow@ohiosecretaryofstate.gov,http://morrowcountyohio.gov/www/index.php/2013-01-11-19-24-05/board-of-elections,Really ugly file
Muskingum,muskingu@ohiosecretaryofstate.gov,https://www.voterfind.com/muskingumoh/avreport.aspx,
Noble,noble@ohiosecretaryofstate.gov,https://www.voterfind.com/nobleoh/avreport.aspx,
Ottawa,election@co.ottawa.oh.us,,call: 419/898-3071
Paulding,paulding@ohiosecretaryofstate.gov,https://www.voterfind.com/pauldingoh/avreport.aspx,
Perry,perry@ohiosecretaryofstate.gov,https://www.voterfind.com/perryoh/avreport.aspx,
Pickaway,pickaway@ohiosecretaryofstate.gov,https://www.voterfind.com/pickawayoh/avreport.aspx,
Pike,pike@ohiosecretaryofstate.gov,https://www.voterfind.com/pikeoh/avreport.aspx,Blank File. Call (740) 947-4512
Portage,portage@ohiosecretaryofstate.gov,https://www.voterfind.com/portageoh/avreport.aspx,
Preble,preble@electionsonthe.net,https://www.voterfind.com/prebleoh/avreport.aspx,Missing 2018. Call: 937) 456-8117
Putnam,putnam@ohiosecretaryofstate.gov,https://www.voterfind.com/putnamoh/avreport.aspx,
Richland,boardofelections@richlandcountyoh.us,http://www.richlandcountyoh.us/index.php/voting-information/absentee-voting,prompts passwrod. Call (419) 774-5530
Ross,rossboe@horizonview.net,https://www.voterfind.com/rossoh/avreport.aspx,
Sandusky,tuckerman@co.sandusky.oh.us,,Call 419-334-6180
Scioto,scioto@ohiosecretaryofstate.gov,https://www.voterfind.com/sciotooh/avreport.aspx,
Seneca,seneca@ohiosecretaryofstate.gov,https://www.voterfind.com/senecaoh/avreport.aspx,
Shelby,shelby@ohiosecretaryofstate.gov,,Call: (937) 498-7207
Stark,boe@starkcountyohio.gov,http://www.starkcountyohio.gov/cmspages/logon.aspx?returnurl=%2fboard-of-elections%2fcandidates-issues-information%2fabsentee-download%3fext%3d.,requires password. Call: (330) 451-8683
Summit,summit@summitcountyboe.com,https://www.summitcountyboe.com/boe-reports/absentee-reports/,Date requires formula treatment
Trumbull,tuscaraw@ohiosecretaryofstate.gov,http://www.boe.co.trumbull.oh.us/boe_absentdownload.html,Ugly file
Tuscarawas,,https://www.voterfind.com/tuscarawasoh/avreport.aspx,
Union,boardofelections@co.union.oh.us,https://www.voterfind.com/unionoh/avreport.aspx,
Van Wert,vanwert@ohiosecretaryofstate.gov,https://www.voterfind.com/vanwertoh/avreport.aspx,Missing 2018. Call: (419) 238-4192
Vinton,vinton@ohiosecretaryofstate.gov,https://www.voterfind.com/vintonoh/avreport.aspx,Blank file. Call (740) 596-5855
Warren,wcboe@co.warren.oh.us,https://www.voterfind.com/warrenoh/avreport.aspx,
Washington,washingt@ohiosecretaryofstate.gov,https://www.voterfind.com/washingtonoh/avreport.aspx,
Wayne,contact@votewayne.org,,Call: 330.287.5480
Williams,williams@ohiosecretaryofstate.gov,https://www.voterfind.com/williamsoh/avreport.aspx,
Wood,boe@co.wood.oh.us,http://www.co.wood.oh.us/BOE/AV%20Lists.html,No downloadable file. Call 419-354-9120
Wyandot,wyandot@ohiosecretaryofstate.gov,,Call 419-294-1226
