sos_id,AVAPPDATE,AVAPPTYPE,AVRECVDATE,AVSENTDATE,PARTYAFFIL,PHONE
OH0022024448,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018239251,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018228701,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018245252,8/21/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018212594,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0025011280,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018252090,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018230369,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018230386,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018239325,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018249648,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0019505463,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018231463,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0018231450,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0018228336,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0019948933,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0023048116,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018228797,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018211549,8/14/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018232863,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018215570,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0022135969,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0025141455,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0025516960,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018219517,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018241862,8/3/2020,WITHDRAWN,/  /,/  /,REP,
OH0018247998,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018249067,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018249598,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018236664,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0019946508,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018225822,8/21/2020,WITHDRAWN,/  /,/  /,DEM,
OH0024423583,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018250892,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0020078929,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018250939,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018252642,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0023610454,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0024447267,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018216517,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0022829254,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0023448751,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0019946643,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018227473,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018221554,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0025406036,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018214108,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018214110,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0024608089,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018222927,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0025154969,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018223956,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018228961,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0023617436,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0021513558,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0022405899,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0021823291,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018222220,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018233950,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0024607874,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018219164,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018233858,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0019120468,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018219894,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018219928,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0022741811,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018227926,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018243035,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018228160,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0022534489,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018234631,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0023182839,8/13/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018215023,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0024872509,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0019950606,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018233868,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018228540,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018217086,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0021719128,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018211565,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0019946312,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018306630,8/3/2020,WITHDRAWN,/  /,/  /,REP,
OH0023464828,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018237335,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018240824,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0025355605,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0025535724,6/1/2020,WITHDRAWN,/  /,/  /,---,
OH0018230252,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018215412,8/13/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018238104,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018242160,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018231866,8/21/2020,WITHDRAWN,/  /,/  /,---,
OH0018245277,8/24/2020,WITHDRAWN,/  /,/  /,REP,
OH0019951506,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018241845,8/19/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018221148,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018220454,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018230054,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0021612431,6/1/2020,WITHDRAWN,/  /,/  /,---,
OH0018211494,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018251239,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0024980753,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0019946571,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0021538806,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018244161,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018213660,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018226385,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0024532381,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0024614213,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018223603,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018242589,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018243091,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018213485,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018250060,8/20/2020,WITHDRAWN,/  /,/  /,REP,
OH0018234265,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018251186,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018251204,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0024537455,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018227736,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018247539,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018232616,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018211657,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018224938,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018218810,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018212529,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018231283,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0022721334,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0022452528,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0021125429,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018221709,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0024159619,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0021059186,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018245000,8/20/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018244999,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0022275191,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018243527,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0019004240,8/17/2020,WITHDRAWN,/  /,/  /,REP,
OH0025430936,6/1/2020,WITHDRAWN,/  /,/  /,---,
OH0018220180,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018244792,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018574221,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018212693,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0023088826,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018235675,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0020837031,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018237684,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018237665,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0021067168,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018245860,8/21/2020,WITHDRAWN,/  /,/  /,---,
OH0018234852,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018811392,8/3/2020,WITHDRAWN,/  /,/  /,---,
OH0023473701,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018238214,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0025121424,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018246759,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018811351,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018218107,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018232384,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0025691757,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018250569,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018232567,8/21/2020,WITHDRAWN,/  /,/  /,---,
OH0018241984,8/19/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018241990,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018236253,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018243043,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0019951693,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018231022,8/19/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018881954,8/14/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018243877,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018241789,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0022169504,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018233016,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018234764,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018212515,8/13/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018212520,8/13/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018213283,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018251812,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018245335,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018215483,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018226123,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018225547,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018221121,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018219885,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018219893,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018233351,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0019949521,8/20/2020,WITHDRAWN,/  /,/  /,---,
OH0018222374,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018243161,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018243168,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018246436,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018231519,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018245806,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018811367,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018212561,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0023068552,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018240015,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018249020,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018248983,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018235236,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018249447,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018215995,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018236195,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018236205,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018229035,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018251202,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018211981,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018211975,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0024564514,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018252175,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018905016,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018235175,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018250868,8/24/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018248021,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018248028,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018219803,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018231992,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018231978,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0022271704,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018248784,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0024514867,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018248089,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018244331,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018241202,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018242669,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018239093,8/12/2020,WITHDRAWN,/  /,/  /,REP,
OH0018218608,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0025303982,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018663299,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018233635,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018220850,8/17/2020,WITHDRAWN,/  /,/  /,---,
OH0018243682,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018243671,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018226772,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018248845,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018244345,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018244653,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018213598,8/10/2020,WITHDRAWN,/  /,/  /,DEM,
OH0022261153,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018222774,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0021061917,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018221548,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018221530,8/13/2020,WITHDRAWN,/  /,/  /,---,
OH0018249662,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0019952417,8/12/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018244546,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018213247,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0018213234,8/14/2020,WITHDRAWN,/  /,/  /,---,
OH0020961594,8/19/2020,WITHDRAWN,/  /,/  /,REP,
OH0018241683,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018241718,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018248091,5/29/2020,WITHDRAWN,/  /,/  /,---,
OH0018231868,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018249013,8/17/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018247360,8/7/2020,WITHDRAWN,/  /,/  /,DEM,
OH0018236084,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0023727643,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0024491901,8/10/2020,WITHDRAWN,/  /,/  /,---,
OH0018218172,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0018221394,8/19/2020,WITHDRAWN,/  /,/  /,---,
OH0018229184,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018211947,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018216006,8/24/2020,WITHDRAWN,/  /,/  /,---,
OH0018252501,8/12/2020,WITHDRAWN,/  /,/  /,---,
OH0010411363,8/24/2020,WITHDRAW,/  /,/  /,REP,
OH0010412105,8/20/2020,WITHDRAW,/  /,/  /,NON,
OH0010412310,8/10/2020,WITHDRAW,/  /,/  /,---,
OH0021897134,8/18/2020,WITHDRAW,/  /,/  /,DEM,
OH0021579480,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0010413049,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010413827,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0023290205,8/11/2020,WITHDRAW,/  /,/  /,---,
OH0010420046,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0010420596,8/12/2020,WITHDRAW,/  /,/  /,---,
OH0010420598,8/12/2020,WITHDRAW,/  /,/  /,---,
OH0010420740,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010422025,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0010422018,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0010422055,8/12/2020,WITHDRAW,/  /,/  /,DEM,
OH0010425644,8/11/2020,WITHDRAW,/  /,/  /,---,
OH0010425401,8/10/2020,WITHDRAW,/  /,/  /,---,
OH0010440120,8/11/2020,WITHDRAW,/  /,/  /,DEM,
OH0010426469,8/10/2020,WITHDRAW,/  /,/  /,DEM,
OH0019013182,8/24/2020,WITHDRAW,/  /,/  /,---,
OH0021472911,8/12/2020,WITHDRAW,/  /,/  /,---,
OH0015591819,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0016345084,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0010429316,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0015849194,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0010429921,8/24/2020,WITHDRAW,/  /,/  /,---,
OH0010430700,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0010431136,8/24/2020,WITHDRAW,/  /,/  /,DEM,
OH0020326741,8/12/2020,WITHDRAW,/  /,/  /,---,
OH0022898165,8/12/2020,WITHDRAW,/  /,/  /,---,
OH0025481689,8/19/2020,WITHDRAW,/  /,/  /,DEM,
OH0023490709,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010433192,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010433219,8/19/2020,WITHDRAW,/  /,/  /,NON,
OH0010435946,8/11/2020,WITHDRAW,/  /,/  /,---,
OH0010436217,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010436674,8/20/2020,WITHDRAW,/  /,/  /,---,
OH0016016555,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0010421086,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010438280,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0021310770,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0010441045,8/19/2020,WITHDRAW,/  /,/  /,DEM,
OH0023546595,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0010441492,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0010442333,8/11/2020,WITHDRAW,/  /,/  /,---,
OH0010443472,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010444250,8/24/2020,WITHDRAW,/  /,/  /,---,
OH0010444252,8/24/2020,WITHDRAW,/  /,/  /,---,
OH0010444358,8/12/2020,WITHDRAW,/  /,/  /,---,
OH0010444373,8/12/2020,WITHDRAW,/  /,/  /,---,
OH0010444426,8/20/2020,WITHDRAW,/  /,/  /,DEM,
OH0010444433,8/20/2020,WITHDRAW,/  /,/  /,DEM,
OH0010446080,8/18/2020,WITHDRAW,/  /,/  /,---,
OH0010445012,8/17/2020,WITHDRAW,/  /,/  /,---,
OH0010445328,8/19/2020,WITHDRAW,/  /,/  /,---,
OH0022985584,8/17/2020,WITHDRAW,/  /,/  /,DEM,
OH0018642754,8/10/2020,WITHDRAW,/  /,/  /,---,
OH0020527802,8/20/2020,WITHDRAWN,/  /,/  /,---,614.736.3120
OH0018159881,8/21/2020,WITHDRAWN,/  /,/  /,---,740.881.0210
OH0019518365,8/11/2020,WITHDRAWN,/  /,/  /,---, 
OH0025044089,8/18/2020,WITHDRAWN,/  /,/  /,---,740.971.7755
OH0016432244,8/18/2020,WITHDRAWN,/  /,/  /,---, 
OH0018828745,8/12/2020,WITHDRAWN,/  /,/  /,---, 
OH0016501624,8/19/2020,WITHDRAWN,/  /,/  /,---, 
OH0018695538,8/20/2020,WITHDRAWN,/  /,/  /,---,740.417.9480
OH0016482021,8/21/2020,WITHDRAWN,/  /,/  /,---,740.972.0584
OH0021724156,8/13/2020,WITHDRAWN,/  /,/  /,DEM,614.352.9423
OH0016454791,8/11/2020,WITHDRAWN,/  /,/  /,---,740.816.2961
OH0016454954,8/11/2020,WITHDRAWN,/  /,/  /,---,740.816.3221
OH0022094518,8/21/2020,WITHDRAWN,/  /,/  /,---,740.965.1551
OH0016478777,8/24/2020,WITHDRAWN,/  /,/  /,---,740.548.5694
OH0016495752,8/17/2020,WITHDRAWN,/  /,/  /,---, 
OH0022994955,8/18/2020,WITHDRAWN,/  /,/  /,---, 
OH0022999742,8/18/2020,WITHDRAWN,/  /,/  /,---, 
OH0025092744,8/21/2020,WITHDRAWN,/  /,/  /,---, 
OH0016458173,8/20/2020,WITHDRAWN,/  /,/  /,---,740.548.4167
OH0023610256,8/17/2020,WITHDRAWN,/  /,/  /,---, 
OH0016447231,8/20/2020,WITHDRAWN,/  /,/  /,---,614.718.9096
OH0024984827,8/21/2020,WITHDRAWN,/  /,/  /,---, 
OH0025093380,8/19/2020,WITHDRAWN,/  /,/  /,NON,330.715.2428
OH0024149082,8/17/2020,WITHDRAWN,/  /,/  /,---, 
OH0024555365,8/17/2020,WITHDRAWN,/  /,/  /,---,614.327.9802
OH0024555338,8/20/2020,WITHDRAWN,/  /,/  /,---,614.625.5635
OH0025293429,8/18/2020,WITHDRAWN,/  /,/  /,DEM,614.501.8091
OH0016489748,8/21/2020,WITHDRAWN,/  /,/  /,---,740.362.5907
OH0018928768,8/18/2020,WITHDRAWN,/  /,/  /,---,614.316.6865
OH0018168307,8/20/2020,WITHDRAWN,/  /,/  /,---,740.815.8553
OH0025378269,8/11/2020,WITHDRAWN,/  /,/  /,---, 
OH0025431144,7/28/2020,WITHDRAWN,/  /,/  /,---, 
OH0021113474,8/21/2020,WITHDRAWN,/  /,/  /,---, 
OH0020400845,8/24/2020,WITHDRAWN,/  /,/  /,DEM,614.679.1665
OH0025096419,8/24/2020,WITHDRAWN,/  /,/  /,---, 
OH0025096418,8/24/2020,WITHDRAWN,/  /,/  /,---, 
OH0016519949,8/21/2020,WITHDRAWN,/  /,/  /,---,740.369.3411
